year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,4,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",85.00,7.00,3.00,0.00,3.08,0.00,0.92,0.00,2.00,428.00,250.00,0.00,87.00,0.00,91.00
2023,4,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",46.00,5.00,3.63,0.61,0.76,0.00,0.00,0.00,1.00,272.00,153.00,67.00,52.00,0.00,0.00
2023,4,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",61.00,5.00,0.68,0.07,3.32,0.00,0.93,0.00,1.00,204.00,36.00,2.00,141.00,0.00,25.00
2023,4,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",211.00,29.00,9.86,1.00,4.21,0.00,13.93,1.00,0.00,1346.00,384.00,39.00,115.00,0.00,808.00
2023,4,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1390.00,140.00,41.20,5.11,29.09,0.00,64.59,0.00,2.00,12486.00,4655.00,403.00,1190.00,0.00,6238.00
2023,4,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",17.00,3.00,2.89,0.00,0.11,0.00,0.00,0.00,0.00,273.00,255.00,0.00,18.00,0.00,0.00
2023,4,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",51.00,8.00,2.91,0.00,5.09,0.00,0.00,0.00,0.00,297.00,180.00,0.00,117.00,0.00,0.00
2023,4,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",56.00,9.00,3.47,0.00,0.98,0.00,4.54,0.00,0.00,712.00,288.00,0.00,38.00,0.00,386.00
2023,4,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",60.00,4.00,1.88,0.00,1.00,0.00,1.12,0.00,0.00,359.00,124.00,0.00,81.00,0.00,154.00
2023,4,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",75.00,9.00,4.21,0.00,1.17,0.00,3.61,0.00,0.00,404.00,87.00,0.00,61.00,0.00,256.00
